dashboard_name,widget_type
IPC Body CMM (2),BloX
iris_dataset_Iris_auto_sklearn,BloX
JAQL,pivot2
JAQL_Test,pivot2
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,chart/pie
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,map/scatter
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,BloX
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,indicator
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,tablewidget
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,chart/bar
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,chart/pie
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,richtexteditor
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,chart/bar
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,tablewidget
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,indicator
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,sankeyWidget
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,chart/pie
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,indicator
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,map/scatter
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,chart/pie
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,chart/bar
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,WidgetsTabber
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,sankeyWidget
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,indicator
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,chart/bar
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,map/scatter
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,tablewidget
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,chart/pie
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,chart/bar
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,sankeyWidget
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,chart/bar
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,tablewidget
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,chart/line
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,chart/pie
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,indicator
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,chart/bar
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,chart/bar
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,pivot2
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,chart/bar
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,chart/pie
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,chart/pie
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,chart/bar
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,indicator
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,indicator
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,chart/line
